Occurrence_ID,Name,Latitude,Longitude,District,State,Minerals,Deposit_Type,UNFC_Stage,Host_Rock
BHIL-01,Mandal Pegmatite Swarm,25.443,74.571,Bhilwara,Rajasthan,Spodumene; Lepidolite; Beryl,LCT Complex (Albite-Spodumene),G4,Mica schist / Mangalwar Complex
BHIL-02,Potlan Rare-Metal Pegmatite,25.138,74.223,Bhilwara,Rajasthan,Lepidolite; Amblygonite; Columbite-Tantalite,LCT (Lepidolite-subtype),G3,Amphibolite / Calc-schist
BHIL-03,Karera Spodumene Belt,25.512,74.341,Bhilwara,Rajasthan,Spodumene; Muscovite; Tourmaline,LCT (Spodumene-subtype),G4,Banded Gneissic Complex
BHIL-04,Asind Pegmatite Tract,25.733,74.328,Bhilwara,Rajasthan,Lepidolite; Triphylite; Beryl,LCT (Phosphate-rich),G4,Pelitic schist / Gneiss
BHIL-05,Raipur Pegmatite Body,25.321,74.167,Bhilwara,Rajasthan,Lepidolite; Spodumene; Columbite,LCT Complex,G4,Granite gneiss contact
BHIL-06,Bhunas Mica-Lithium Mine,25.215,74.382,Bhilwara,Rajasthan,Lepidolite; Beryl; Muscovite,LCT (Mica-rich),G3,Mica schist
BHIL-07,Danta Pegmatite Pit,25.34,74.45,Bhilwara,Rajasthan,Spodumene; Lepidolite,LCT (Albite-Spodumene),G4,Pelitic schist
BHIL-08,Deoria Lithium-Amblygonite Occurrence,25.61,74.485,Bhilwara,Rajasthan,Lepidolite; Amblygonite,LCT (Lepidolite-subtype),G4,Calc-silicate / Gneiss
BHIL-09,Banera Ridge Pegmatite Zone,25.505,74.68,Bhilwara,Rajasthan,Spodumene; Columbite-Tantalite,LCT (Ta-enriched),G4,Mangalwar metasediments
BHIL-10,Gangapur / Sahada Rare-Element Swarm,25.21,74.26,Bhilwara,Rajasthan,Lepidolite; Beryl; Tourmaline,LCT Complex,G4,Amphibolite facies gneiss
BHIL-11,Jamoli Pegmatite Group,25.655,74.52,Bhilwara,Rajasthan,Spodumene; Quartz-feldspar; Lepidolite,LCT (Spodumene-subtype),G4,Mica schist
BHIL-12,Tiloli Pegmatite Cluster,25.58,74.39,Bhilwara,Rajasthan,Lepidolite; Muscovite; Beryl,LCT (Mica-rich),G4,Migmatitic gneiss
BHIL-13,Meja Dam Ridge Pegmatite,25.41,74.52,Bhilwara,Rajasthan,Spodumene; Tourmaline; Mica,LCT (Albite-Spodumene),G4,BGC metasediment
BHIL-14,Parasoli Amblygonite Prospect,25.18,74.42,Bhilwara,Rajasthan,Amblygonite; Lepidolite,LCT (Phosphate-rich),G4,Quartz-mica schist
BHIL-15,Mandalgarh Corridor Pegmatite,25.2,74.98,Bhilwara,Rajasthan,Spodumene; Lepidolite; Beryl,LCT Complex,G4,Great Boundary Fault zone splay
