Occurrence_ID,Name,Latitude,Longitude,Target_Minerals,Deposit_Type,UNFC_Stage,Host_Rock,Auction_Status,Source
KORB-01,Katghora Main Lithium-REE Block,22.5025,82.5428,"Lepidolite, Amblygonite, Monazite, Xenotime",LCT Complex (Lepidolite-subtype with REE),G3,Quartz-mica schist / Granite gneiss,"Auctioned (2024, Maiki South Mining)",GSI
KORB-02,Garhatara Rare-Metal Prospect,22.528,82.561,"Lepidolite, Spodumene, Columbite-Tantalite",LCT (Lepidolite-Spodumene),G4,Biotite gneiss / Pelitic schist,Open,GSI
KORB-03,Pali North Pegmatite Swarm,22.375,82.331,"Spodumene, Beryl, Tourmaline",LCT (Albite-Spodumene),G4,Granite contact aureole,Open,GSI
KORB-04,Hardi Bazar Felsic Tract,22.312,82.458,"Lepidolite, Columbite, Muscovite",LCT (Mica-rich),G4,Chhotanagpur Gneiss,Open,GSI
KORB-05,Pondi Uprora Lithium Pegmatite,22.684,82.612,"Lepidolite, Amblygonite, Beryl",LCT (Phosphate-rich),G4,Quartz-feldspar gneiss,Open,GSI
KORB-06,Chaitma Rare-Element Pegmatite,22.589,82.492,"Spodumene, Muscovite, Columbite",LCT (Spodumene-subtype),G4,Metasediments,Open,GSI
KORB-07,Dipka North Ridge Occurrence,22.355,82.525,"Lepidolite, Tourmaline, Apatite",LCT (B-rich greisenized),G4,Mica schist / Amphibolite,Open,GSI
KORB-08,Tan River Basin Pegmatite,22.615,82.385,"Spodumene, Lepidolite, Cassiterite",LCT Complex,G4,Granite gneiss,Open,GSI
KORB-09,Korba Granite Marginal Zone,22.42,82.68,"Columbite-Tantalite, Beryl, Monazite",NYF/LCT Hybrid (REE-enriched),G4,Peraluminous S-type granite,Open,GSI
KORB-10,Kartala South Pegmatite Cluster,22.285,82.715,"Lepidolite, Amblygonite, Fluorite",LCT (Lepidolite-subtype),G4,Migmatite / Calc-granulite,Open,GSI
BRS-01,Katghora Outcrop BR-1 (Leucogranite),22.5269,82.5516,"Lepidolite, Spodumene, Albite, Quartz, Tourmaline",LCT Bedrock Sample (Leucogranite),G3,Leucogranite,Open,GSI CRO-23909-2022 Annexure-VI
BRS-02,Katghora Outcrop BR-2 (Leucogranite),22.5268,82.5533,"Lepidolite, Spodumene, Albite, Quartz, Tourmaline",LCT Bedrock Sample (Leucogranite),G3,Leucogranite,Open,GSI CRO-23909-2022 Annexure-VI
BRS-03,Katghora Outcrop BR-3 (Leucogranite),22.5271,82.5546,"Lepidolite, Spodumene, Albite, Quartz, Tourmaline",LCT Bedrock Sample (Leucogranite),G3,Leucogranite,Open,GSI CRO-23909-2022 Annexure-VI
BRS-04,Katghora Outcrop BR-4 ( Leucogranite),22.5278,82.5565,"Lepidolite, Spodumene, Albite, Quartz, Tourmaline",LCT Bedrock Sample ( Leucogranite),G3, Leucogranite,Open,GSI CRO-23909-2022 Annexure-VI
BRS-05,Katghora Outcrop BR-5 (Leucogranite),22.5286,82.5591,"Lepidolite, Spodumene, Albite, Quartz, Tourmaline",LCT Bedrock Sample (Leucogranite),G3,Leucogranite,Open,GSI CRO-23909-2022 Annexure-VI
BRS-06,Katghora Outcrop BR-6 (Leucogranite),22.5281,82.5612,"Lepidolite, Spodumene, Albite, Quartz, Tourmaline",LCT Bedrock Sample (Leucogranite),G3,Leucogranite,Open,GSI CRO-23909-2022 Annexure-VI
BRS-07,Katghora Outcrop BR-7 (Leucogranite),22.5275,82.5632,"Lepidolite, Spodumene, Albite, Quartz, Tourmaline",LCT Bedrock Sample (Leucogranite),G3,Leucogranite,Open,GSI CRO-23909-2022 Annexure-VI
BRS-08,Katghora Outcrop BR-8 (Leucogranite),22.527,82.5656,"Lepidolite, Spodumene, Albite, Quartz, Tourmaline",LCT Bedrock Sample (Leucogranite),G3,Leucogranite,Open,GSI CRO-23909-2022 Annexure-VI
BRS-09,Katghora Outcrop BR-9 (Leucogranite),22.5272,82.5682,"Lepidolite, Spodumene, Albite, Quartz, Tourmaline",LCT Bedrock Sample (Leucogranite),G3,Leucogranite,Open,GSI CRO-23909-2022 Annexure-VI
BRS-10,Katghora Outcrop BR-10 (Granitic pegmatite),22.5273,82.5714,"Lepidolite, Spodumene, Albite, Quartz, Tourmaline",LCT Bedrock Sample (Granitic pegmatite),G3,Granitic pegmatite,Open,GSI CRO-23909-2022 Annexure-VI
BRS-11,Katghora Outcrop BR-11 (Leucogranite),22.5268,82.5725,"Lepidolite, Spodumene, Albite, Quartz, Tourmaline",LCT Bedrock Sample (Leucogranite),G3,Leucogranite,Open,GSI CRO-23909-2022 Annexure-VI
BRS-12,Katghora Outcrop BR-12 (Granitic pegmatite),22.5269,82.5747,"Lepidolite, Spodumene, Albite, Quartz, Tourmaline",LCT Bedrock Sample (Granitic pegmatite),G3,Granitic pegmatite,Open,GSI CRO-23909-2022 Annexure-VI
