borehole_id,northing_utm44n,easting_utm44n,latitude,longitude,collar_rl_m,inclination_deg,azimuth_deg,drilling_rig,initiated_date,completed_date,total_depth_m,district,state,block
KRKC-01,2491905.005,659551.995,22.52625,82.551389,345.361,90.0,0.0,436(CR),2022-12-22,2023-01-01,45.0,Korba,Chhattisgarh,Katghora-Rampur G3 Block
KRKC-02,2491909.164,659951.718,22.52625,82.555275,330.902,90.0,0.0,407(CR),2022-11-16,2022-11-27,45.0,Korba,Chhattisgarh,Katghora-Rampur G3 Block
KRKC-03,2491913.342,660351.748,22.52625,82.559164,322.424,90.0,0.0,407(CR),2022-12-11,2022-12-17,45.0,Korba,Chhattisgarh,Katghora-Rampur G3 Block
KRKC-04,2491917.523,660751.763,22.52625,82.563053,331.953,90.0,0.0,407(CR),2022-11-29,2022-12-09,45.0,Korba,Chhattisgarh,Katghora-Rampur G3 Block
KRKC-05,2491921.709,661151.785,22.52625,82.566942,336.323,90.0,0.0,482(CR),2022-01-20,2023-01-24,45.0,Korba,Chhattisgarh,Katghora-Rampur G3 Block
KRKC-06,2491504.878,659556.15,22.522636,82.551389,356.231,90.0,0.0,436(CR),2023-01-23,2023-01-30,45.0,Korba,Chhattisgarh,Katghora-Rampur G3 Block
KRKC-07,2491509.029,659955.885,22.522636,82.555275,325.509,90.0,0.0,482(CR),2022-12-30,2023-01-07,45.0,Korba,Chhattisgarh,Katghora-Rampur G3 Block
KRKC-08,2491513.195,660355.916,22.522636,82.559164,323.65,90.0,0.0,436(CR),2023-01-08,2023-01-15,45.0,Korba,Chhattisgarh,Katghora-Rampur G3 Block
KRKC-09,2491517.376,660755.954,22.522636,82.563053,320.767,90.0,0.0,482(CR),2023-01-10,2023-01-15,45.0,Korba,Chhattisgarh,Katghora-Rampur G3 Block
KRKC-10,2491521.565,661155.979,22.522636,82.566942,322.337,90.0,0.0,482(CR),2023-01-27,2023-01-30,45.0,Korba,Chhattisgarh,Katghora-Rampur G3 Block
KRKC-11,2491104.732,659560.298,22.519022,82.551389,325.522,90.0,0.0,436(CR),2023-02-07,2023-02-11,45.0,Korba,Chhattisgarh,Katghora-Rampur G3 Block
KRKC-12,2491108.894,659960.05,22.519022,82.555275,322.691,90.0,0.0,436(CR),2023-02-07,2023-02-10,45.0,Korba,Chhattisgarh,Katghora-Rampur G3 Block
KRKC-13,2491113.062,660360.08,22.519022,82.559164,319.868,90.0,0.0,436(CR),2023-02-15,2023-02-22,45.0,Korba,Chhattisgarh,Katghora-Rampur G3 Block
KRKC-14,2491117.224,660760.142,22.519022,82.563053,321.502,90.0,0.0,482(CR),2023-02-12,2023-02-16,45.0,Korba,Chhattisgarh,Katghora-Rampur G3 Block
KRKC-15,2491121.411,661160.187,22.519022,82.566942,318.238,90.0,0.0,436(CR),2023-02-26,2023-03-06,45.0,Korba,Chhattisgarh,Katghora-Rampur G3 Block
