Sr No.,sample_id,from_m,to_m,width_m,lithology,li_mica_pct,li_ppm,li2o_pct,cs_ppm,be_ppm,rb_ppm,ta_ppm,nb_ppm,sn_ppm,w_ppm,mo_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,eu_ppm,sm_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,total_ree_ppm,borehole_id
1,KRKC-01/1,0.0,2.1,2.1,Soil with rock fragments,~10,230.0,495.19,46.05,11.03,342.06,2.81,12.34,2.88,2.4,<0.5,8.26,17.42,2,7.14,0.41,1.87,1.75,0.37,2.03,0.35,0.86,0.15,1.05,0.15,43.80999999999999,KRKC-01
2,KRKC-01/2,2.1,2.6,0.5,Leucogranite,~20,330.0,710.49,41.67,19.05,333.32,5.28,17.95,3.39,2.07,<0.5,13.29,26.66,3.09,11.18,0.65,3.04,2.71,0.54,2.91,0.45,1.12,0.17,0.97,0.14,66.92000000000002,KRKC-01
3,KRKC-01/3,2.6,3.1,0.5,Leucogranite,~20,240.0,516.72,42.67,12.76,336.15,3.43,12.95,2.87,2.05,<0.5,9.77,19.66,2.33,8.51,0.56,2.27,2,0.39,2.13,0.37,0.87,0.14,0.72,0.11,49.83,KRKC-01
4,KRKC-01/4,3.1,3.6,0.5,Leucogranite,15 to 20,325.0,699.725,51.4,11.52,333.51,3.83,14.08,3.44,2.62,<0.5,10.3,20.24,2.29,8.55,0.58,2.25,2.09,0.43,2.28,0.39,0.86,0.14,0.81,0.11,51.32,KRKC-01
5,KRKC-01/5,3.6,4.1,0.5,Leucogranite,15 to 20,265.0,570.545,39.84,22.99,350.5,5.72,16.27,3.17,2.04,<0.5,7.69,15.74,1.8,6.48,0.47,1.82,1.59,0.34,1.71,0.3,0.63,0.1,0.62,0.08,39.370000000000005,KRKC-01
6,KRKC-01/6,4.1,4.6,0.5,Leucogranite with pegmatite,4 to 5,285.0,613.605,45.13,10.57,321.55,3.83,15.59,3.4,2.2,<0.5,9.52,19.66,2.29,8.16,0.53,2.2,1.92,0.39,2.28,0.35,0.86,0.12,0.81,0.12,49.21,KRKC-01
7,KRKC-01/7,4.6,5.1,0.5,Leucogranite,15 to 20,280.0,602.84,45.33,13.77,320.05,4.44,17.87,3.62,2.59,<0.5,13.85,27.66,3.13,11.74,0.61,2.95,2.67,0.51,2.61,0.42,1,0.15,0.86,0.12,68.28000000000002,KRKC-01
8,KRKC-01/8,5.1,5.6,0.5,Leucogranite,15 to 20,290.0,624.37,43.44,10.86,329.62,4.0,14.21,3.26,2.4,0.55,10.33,20.64,2.39,8.54,0.55,2.16,1.95,0.4,2.08,0.33,0.76,0.11,0.72,0.1,51.059999999999995,KRKC-01
9,KRKC-01/9,5.6,6.1,0.5,Leucogranite,15 to 20,270.0,581.3100000000001,41.44,10.4,303.74,3.42,13.09,2.96,2.27,<0.5,8.85,18.33,2.1,7.65,0.52,2.1,1.87,0.37,1.97,0.32,0.72,0.12,0.68,0.09,45.69,KRKC-01
10,KRKC-01/10,6.1,6.6,0.5,Leucogranite,15 to 20,280.0,602.84,44.58,26.88,315.89,3.86,12.83,3.45,2.63,<0.5,10.4,19.77,2.36,8.57,0.51,2.27,2.08,0.4,2.18,0.33,0.79,0.13,0.74,0.11,50.64,KRKC-01
