sr_no,sample_id,lithology,latitude,longitude,li_ppm,cs_ppm,be_ppm,rb_ppm,ta_ppm,nb_ppm,sn_ppm,w_ppm,mo_ppm,la_ppm,ce_ppm,pr_ppm,nd_ppm,eu_ppm,sm_ppm,gd_ppm,tb_ppm,dy_ppm,ho_ppm,er_ppm,tm_ppm,yb_ppm,lu_ppm,gsi_stage,district,state,sample_type
1,BR-1,Leucogranite,22.5269,82.5516,241.88,34.35,11.03,470.4,3.75,18.8,6.0,3.63,,7.01,14.02,1.64,5.68,0.37,1.88,1.85,0.37,2.23,0.37,1.02,0.21,0.89,0.1,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
2,BR-2,Leucogranite,22.5268,82.5533,259.15,42.87,9.84,419.87,3.01,19.98,5.47,3.83,,9.19,17.7,2.11,7.78,0.46,2.18,2.05,0.42,2.39,0.43,1.08,0.18,1.03,0.12,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
3,BR-3,Leucogranite,22.5271,82.5546,281.74,79.37,15.39,645.26,6.83,24.53,5.99,2.65,1.05,11.39,28.77,2.68,9.49,0.52,2.64,2.45,0.53,2.92,0.47,1.18,0.21,1.12,0.14,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
4,BR-4, Leucogranite,22.5278,82.5565,248.93,70.4,15.16,532.51,6.99,17.05,5.75,2.03,1.15,6.24,12.52,1.4,5.18,0.36,1.65,1.66,0.39,2.22,0.36,0.97,0.22,0.93,0.13,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
5,BR-5,Leucogranite,22.5286,82.5591,190.22,55.53,11.61,542.55,2.08,7.41,3.51,2.48,0.75,9.87,19.62,2.22,8.25,0.46,2.35,2.33,0.53,3.32,0.55,1.52,0.27,1.38,0.19,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
6,BR-6,Leucogranite,22.5281,82.5612,273.4,38.58,8.56,427.44,2.11,10.76,4.14,3.06,0.81,12.15,25.41,3.01,10.31,0.66,3.09,2.8,0.61,3.48,0.56,1.53,0.27,1.31,0.18,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
7,BR-7,Leucogranite,22.5275,82.5632,173.36,32.07,15.96,390.69,2.7,12.45,5.74,3.44,0.64,11.45,22.39,2.69,9.75,0.64,2.68,2.51,0.52,2.91,0.48,1.26,0.24,1.11,0.15,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
8,BR-8,Leucogranite,22.527,82.5656,204.01,30.88,11.48,433.33,2.39,15.07,3.55,1.59,,12.01,24.61,2.87,10.81,0.57,2.67,2.64,0.53,3.13,0.5,1.32,0.23,1.15,0.15,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
9,BR-9,Leucogranite,22.5272,82.5682,193.28,30.62,22.43,512.38,2.9,14.1,6.33,2.38,0.74,13.43,26.27,3.04,11.01,0.6,3.01,2.74,0.54,2.79,0.46,1.13,0.2,0.98,0.15,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
10,BR-10,Granitic pegmatite,22.5273,82.5714,107.25,13.3,14.75,362.06,4.3,24.36,33.44,2.55,,16.57,33.18,3.86,13.54,0.14,3.32,3.18,0.7,4.37,0.83,2.42,0.51,2.5,0.35,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
11,BR-11,Leucogranite,22.5268,82.5725,196.64,40.62,10.45,576.38,4.92,17.47,7.93,2.46,0.67,11.77,23.19,2.68,9.62,0.53,2.55,2.4,0.47,2.47,0.39,1.06,0.19,0.95,0.14,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
12,BR-12,Granitic pegmatite,22.5269,82.5747,91.66,22.97,23.82,578.88,0.54,2.78,3.33,,,1.91,3.96,0.55,1.97,0.16,0.84,0.8,0.22,1.26,0.21,0.63,0.15,0.71,0.12,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
13,BR-13,Granitic pegmatite,22.5278,82.5778,59.83,42.05,53.75,690.9,2.72,7.54,7.99,0.61,,2.8,4.7,0.56,2.05,0.1,0.58,0.51,0.11,0.55,0.08,0.25,0.07,0.29,0.05,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
14,BR-14,Leucogranite,22.525,82.5512,414.56,194.78,17.19,594.67,4.94,20.82,13.33,5.15,,22.65,44.39,5.23,18.26,0.71,4.36,4.21,0.93,5.52,1.08,3.17,0.55,3.05,0.42,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
15,BR-15,Leucogranite,22.5261,82.5546,343.2,85.02,13.64,472.42,5.23,17.77,5.87,3.24,,11.03,24.4,2.62,10.09,0.58,2.72,2.53,0.54,3.21,0.53,1.39,0.23,1.09,0.15,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
16,BR-16,Leucogranite,22.5249,82.5533,278.88,21.88,6.22,383.02,1.79,13.05,4.45,2.27,0.98,13.39,26.7,3.08,11.65,0.6,3.18,3.24,0.65,3.6,0.57,1.47,0.27,1.31,0.18,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
17,BR-17,Leucogranite,22.5258,82.5567,261.74,95.68,17.67,705.32,7.56,26.52,5.19,2.16,0.53,73.51,123.85,15.67,54.61,1.04,10.05,8.44,1.35,6.75,1.05,2.76,0.42,2.38,0.33,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
18,BR-18,Leucogranite,22.5256,82.56,223.67,56.33,12.4,435.37,3.6,16.27,4.68,2.65,,13.45,26.78,3.12,11.31,0.8,3.21,3.38,0.71,3.86,0.64,1.6,0.26,1.42,0.19,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
19,BR-19,Leucogranite,22.5249,82.5609,268.08,106.0,13.8,648.42,4.82,19.27,5.98,2.43,0.63,19.4,35.67,4.42,16.8,0.88,4.55,4.44,0.89,5.02,0.84,2.12,0.72,1.73,0.23,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
20,BR-20,Leucogranite,22.526,82.5633,276.19,71.24,22.57,671.69,8.29,23.88,7.28,3.15,,14.21,28.51,3.47,12.84,0.69,3.49,3.52,0.82,4.58,0.76,1.88,0.35,1.73,0.21,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
21,BR-21,Leucogranite,22.5255,82.5654,199.96,51.04,11.69,582.13,3.9,14.44,4.04,1.02,,9.7,19.79,2.28,8.76,0.47,2.45,2.21,0.54,3.06,0.53,1.4,0.24,1.23,0.18,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
22,BR-22,Leucogranite,22.5249,82.5686,220.85,42.38,10.64,566.46,3.32,16.95,4.68,1.49,0.66,8.82,17.53,2.06,7.67,0.44,2.3,2.23,0.5,2.97,0.52,1.38,0.24,1.27,0.21,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
23,BR-23,Leucogranite,22.5252,82.5704,205.93,47.44,11.84,501.27,2.88,14.05,5.58,1.63,0.84,15.02,30.22,3.54,13.06,0.69,3.67,3.27,0.68,3.83,0.63,1.64,0.26,1.41,0.19,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
24,BR-24,Leucogranite,22.5252,82.5728,183.24,32.84,11.71,535.44,2.15,12.46,4.49,1.15,,10.81,22.2,2.58,9.04,0.48,2.4,2.21,0.46,2.44,0.39,1.01,0.19,0.93,0.13,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
25,BR-25,Leucogranite,22.5252,82.5747,193.15,25.49,11.19,419.61,2.25,9.82,4.41,1.69,,13.13,25.81,2.99,11.0,0.65,2.81,2.37,0.44,2.3,0.37,0.93,0.18,0.9,0.11,G3,Korba,Chhattisgarh,Bedrock Outcrop (BRS)
