Station_ID,Latitude,Longitude,Li_ppm,K_Rb_Ratio,Rb_ppm,Cs_ppm,Ta_ppm,Be_ppm,Sn_ppm,Sampling_Medium,Anomaly_Classification
NGCM-KG-001,22.4448,82.69831,29.64,227.89,67.8,1.97,0.59,2.73,5.61,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-002,22.59155,82.28906,34.4,246.6,70.62,2.05,0.78,1.61,5.15,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-003,22.47006,82.40814,27.24,191.16,74.61,2.6,1.18,2.57,3.2,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-004,22.50626,82.54066,15.93,228.6,68.53,1.7,1.92,2.93,6.85,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-005,22.41403,82.32298,28.68,215.21,66.1,2.99,0.55,2.82,3.55,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-006,22.57151,82.41715,25.4,223.74,69.24,4.41,1.66,2.88,7.37,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-007,22.54308,82.68562,16.77,195.68,62.26,2.48,1.08,1.54,6.97,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-008,22.43697,82.40361,25.85,191.27,100.11,1.72,1.98,2.54,3.19,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-009,22.28243,82.6388,29.14,238.32,98.56,1.72,1.04,1.23,7.18,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-010,22.55425,82.4256,16.27,204.88,76.26,3.69,1.46,2.77,4.83,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-011,22.33262,82.59383,30.22,224.9,98.55,2.98,1.28,1.86,2.15,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-012,22.32747,82.29383,27.73,205.15,85.43,4.22,0.87,1.82,6.53,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-013,22.38067,82.31387,20.8,192.9,106.48,3.92,1.45,2.74,6.82,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-014,22.36209,82.67273,25.79,244.6,104.8,2.45,0.67,1.46,4.56,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-015,22.63993,82.65872,15.14,220.86,80.87,2.17,0.68,1.68,7.66,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-016,22.42221,82.50827,29.06,209.09,108.59,4.39,0.88,1.99,3.81,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-017,22.40533,82.29623,27.19,220.21,62.57,2.34,1.86,1.48,2.87,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-018,22.49536,82.71369,19.84,233.77,98.08,2.21,1.59,1.74,5.79,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-019,22.55875,82.51574,16.81,246.82,76.04,2.06,0.56,2.18,6.07,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-020,22.2873,82.50532,19.53,231.61,68.72,3.57,1.08,2.87,2.83,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-021,22.43007,82.32993,33.49,250.19,72.9,3.48,1.73,2.11,5.18,Stream Sediment (-80 mesh),Regional Crustal Background
NGCM-KG-022,22.38642,82.32097,32.94,252.03,91.66,2.52,1.02,2.45,7.38,Stream Sediment (-80 mesh),Regional Crustal Background
